N,dim,pattern,selectivity,qualified,qualified_actual,inline_p50_ms,prefilter_p50_ms,inline_p90_ms,prefilter_p90_ms,latency_gain,recall,inline_qps,prefilter_qps,qps_gain,inline_cpu_pct,prefilter_cpu_pct,inline_main_cpu_pct,prefilter_main_cpu_pct,bottleneck,k,data
5000,768,num AND tag AND text,0.07,350,350,0.20109605975449085,0.2670119283720851,0.2539120614528656,0.2808159915730357,0.7531351163992214,1.0,,,,,,,,,10,clustered
5000,768,num AND tag AND text,0.1,500,500,0.17774698790162802,0.35965407732874155,0.21568697411566973,0.38771098479628563,0.4942165238937595,1.0,12334.83034358873,12036.837190530898,0.9758413253561513,171.11846356795624,395.111326514845,40.930352957176844,39.955077962175345,reader-bound,10,clustered
5000,768,num AND NOT tag,0.001,5,5,2.2283559665083885,0.07889105472713709,2.341795014217496,0.0806640600785613,28.24599029909882,1.0,,,,,,,,,10,clustered
5000,768,num AND NOT tag,0.002,10,10,2.0778049947693944,0.09075994603335857,2.16977100353688,0.09878899436444044,22.89341373126977,1.0,,,,,,,,,10,clustered
5000,768,num AND NOT tag,0.004,20,20,1.3527589617297053,0.09682995732873678,1.5634590527042747,0.10380393359810114,13.970459133190584,1.0,,,,,,,,,10,clustered
5000,768,num AND NOT tag,0.005,25,25,,,,,,,3572.4411300612983,12961.35717205721,3.628151367699322,413.980256005436,96.17445390225099,12.40948009608621,40.4425908717158,reader-bound,10,clustered
5000,768,num AND NOT tag,0.007,35,35,0.988984014838934,0.10856904555112123,1.251429901458323,0.11827994603663683,9.10926323261502,1.0,,,,,,,,,10,clustered
5000,768,num AND NOT tag,0.01,50,50,0.7374199340119958,0.12030696962028742,0.8604199392721057,0.13224792201071978,6.1294863991624,1.0,,,,,,,,,10,clustered
5000,768,num AND NOT tag,0.02,100,100,0.4008789546787739,0.1526189735159278,0.49300200771540403,0.16127899289131165,2.626665252973523,1.0,11794.892101975704,12830.215549050441,1.0877772715615868,438.91648940009327,156.1426921009583,37.56492476847645,40.26320991282572,reader-bound,10,clustered
5000,768,num AND NOT tag,0.035,175,175,0.3541859332472086,0.19002403132617474,0.4390920512378216,0.21425297018140554,1.8639007433709858,1.0,,,,,,,,,10,clustered
